,zip_codes,urls,delivering,name,categories,ratings,delivery_time,promos,del_cost,del_dist
0,BR1 1QE,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+1QE&sort=distance,True,Restaurant Support the NHS,Serves British.,Rated 5.0 from 50+ reviews,Delivers in 10 to 10 minutes,,Free delivery,8.5 miles away
1,BR1 1QE,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+1QE&sort=distance,True,Restaurant Chabad - Seder To Go,Serves Alcohol.,,Delivers at 12:00,,£4.49 delivery,1.7 miles away
2,BR1 1QE,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+1QE&sort=distance,True,Restaurant Treasure of China,Serves Seafood and Chinese.,Rated 4.4 from 50+ reviews,,,£1.49 delivery,0.0 miles away
3,BR1 1QE,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+1QE&sort=distance,True,Restaurant Bowl O'Pho,Serves Vietnamese.,Rated 4.7 from 50+ reviews,,,£1.49 delivery,0.1 miles away
4,BR1 1QE,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+1QE&sort=distance,True,"Restaurant Brazilian steakhouse, Brassett Churrascaria","Serves Steak, American, and Argentinian.",Rated 4.1 from 50+ reviews,,,£2.99 delivery,0.9 miles away
5,BR1 1QE,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+1QE&sort=distance,True,Restaurant It's a Wrap F G Ltd,Serves Caribbean.,,,,£2.50 delivery,6.9 miles away
6,BR1 1QE,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+1QE&sort=distance,True,Restaurant Miso Noodle Bar - Bromley,"Serves Dim Sum, Noodles, Asian, and Chinese.",Rated 4.6 from 50+ reviews,,,£1.49 delivery,0.0 miles away
7,BR1 1QE,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+1QE&sort=distance,True,Restaurant Cinnamon Culture Express,"Serves Indian, Chicken, and Curry.",Rated 4.4 from 50+ reviews,,,£2.49 delivery,0.5 miles away
8,BR1 1QE,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+1QE&sort=distance,True,Restaurant Bromley Hill Fish Bar,Serves Fish and chips.,Rated 4.3 from 50+ reviews,,,£3.99 delivery,1.2 miles away
9,BR1 1QE,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+1QE&sort=distance,True,Restaurant Beckenham Spice,"Serves Curry, Indian, and Seafood.",Rated 3.9 from 34 reviews,,Meal Deals,£4.49 delivery,1.5 miles away
10,BR1 1QE,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+1QE&sort=distance,True,Restaurant The Village Fish and Chips,Serves Fish and chips and British.,Rated 4.4 from 50+ reviews,,Meal Deals,£4.49 delivery,2.5 miles away
11,BR1 1QE,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+1QE&sort=distance,True,Restaurant Gourmet Burger Kitchen,"Serves Burgers, American, and Alcohol.",Rated 4.4 from 50+ reviews,,Meal Deals,£1.49 delivery,0.0 miles away
12,BR1 1QE,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+1QE&sort=distance,True,Restaurant JJ Freshway Food,"Serves Chicken, Caribbean, Salads, and Curry.",,,,£1.49 delivery,0.1 miles away
13,BR1 1QE,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+1QE&sort=distance,True,Restaurant Byron - Burger & Fries,,Rated 4.2 from 50+ reviews.,,,£1.99 delivery,0.2 miles away
14,BR1 1QE,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+1QE&sort=distance,True,Restaurant Agora Mediterranean,"Serves Greek, Seafood, and Mediterranean.",Rated 4.6 from 50+ reviews,,,£4.49 delivery,1.8 miles away
15,BR1 1QE,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+1QE&sort=distance,True,Restaurant Sunday Roast,,,,,£1.49 delivery,0.0 miles away
16,BR1 1QE,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+1QE&sort=distance,True,Restaurant Imm Thai Fusion,"Serves Thai, Curry, and Noodles.",Rated 4.5 from 50+ reviews,,,£4.49 delivery,1.8 miles away
17,BR1 1QE,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+1QE&sort=distance,True,Restaurant BedNBreakfasttt,Serves British and Breakfast.,,,,£2.00 delivery,2.7 miles away
18,BR1 1QE,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+1QE&sort=distance,True,Restaurant Pan-n-Ice Pop-ups,,,,,Free delivery,12.7 miles away
19,BR1 4QH,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+4QH&sort=distance,True,Restaurant Support the NHS,Serves British.,Rated 5.0 from 50+ reviews,Delivers in 10 to 10 minutes,,Free delivery,7.1 miles away
20,BR1 4QH,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+4QH&sort=distance,True,Restaurant Chabad - Seder To Go,Serves Alcohol.,,Delivers at 12:00,,£1.49 delivery,0.3 miles away
21,BR1 4QH,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+4QH&sort=distance,True,Restaurant Bowl O'Pho,Serves Vietnamese.,Rated 4.7 from 50+ reviews,,,£3.49 delivery,1.4 miles away
22,BR1 4QH,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+4QH&sort=distance,True,Restaurant Treasure of China,Serves Seafood and Chinese.,Rated 4.4 from 50+ reviews,,,£3.49 delivery,1.4 miles away
23,BR1 4QH,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+4QH&sort=distance,True,Restaurant The King Neptune Fish Bar,Serves British and Fish and chips.,Rated 4.1 from 31 reviews,,,£3.99 delivery,1.9 miles away
24,BR1 4QH,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+4QH&sort=distance,True,"Restaurant Brazilian steakhouse, Brassett Churrascaria","Serves Steak, American, and Argentinian.",Rated 4.1 from 50+ reviews,,,£4.49 delivery,2.3 miles away
25,BR1 4QH,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+4QH&sort=distance,True,Restaurant Hattush Restaurant,"Serves Turkish, Kebab, and Mezze.",Rated 4.2 from 50+ reviews,,,£4.49 delivery,2.6 miles away
26,BR1 4QH,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+4QH&sort=distance,True,Restaurant It's a Wrap F G Ltd,Serves Caribbean.,,,,£2.50 delivery,6.5 miles away
27,BR1 4QH,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+4QH&sort=distance,True,Restaurant Bromley Hill Fish Bar,Serves Fish and chips.,Rated 4.3 from 50+ reviews,,,£1.49 delivery,0.3 miles away
28,BR1 4QH,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+4QH&sort=distance,True,Restaurant Cinnamon Culture Express,"Serves Indian, Chicken, and Curry.",Rated 4.4 from 50+ reviews,,,£2.99 delivery,1.1 miles away
29,BR1 4QH,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+4QH&sort=distance,True,Restaurant Miso Noodle Bar - Bromley,"Serves Dim Sum, Noodles, Asian, and Chinese.",Rated 4.6 from 50+ reviews,,,£3.49 delivery,1.4 miles away
30,BR1 4QH,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+4QH&sort=distance,True,Restaurant Beckenham Spice,"Serves Curry, Indian, and Seafood.",Rated 3.9 from 34 reviews,,Meal Deals,£3.49 delivery,1.5 miles away
31,BR1 4QH,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+4QH&sort=distance,True,Restaurant Fuse,Serves Japanese and Fried chicken.,,,,£3.99 delivery,1.7 miles away
32,BR1 4QH,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+4QH&sort=distance,True,Restaurant The Caspian,Serves Mezze and Middle Eastern.,,,,£3.99 delivery,1.8 miles away
33,BR1 4QH,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+4QH&sort=distance,True,Restaurant Absolutely Delicious,"Serves Chicken, Jamaican, and Fried chicken.",,,,£4.49 delivery,2.1 miles away
34,BR1 4QH,https://deliveroo.co.uk/restaurants/london/beckenham?postcode=BR1+4QH&sort=distance,True,Restaurant Jrk Bros,"Serves Chicken, Caribbean, Breakfast, and Bagels.",Rated 4.1 from 50+ reviews,,£20 family bundles,£4.49 delivery,2.2 miles away
